PROD_CD,PROD_NAME,MODEL_NAME,UNIT_PRICE
TTA-건전지002,맥셀 AAA 알카라인 건전지(2개)[60013] MAXELL,MAXELL AAA,600
TTA-기타어022,"ZOT 프린터 서버 아답터 , 3.3V／2A[40522]",LS-ZOT-3.3V2A,6000
TTA-기타어026,"[LANstar] 허브아답터 허브용, USB리피터용, 5V1A [10702]",LS-AD5V1A-HUB,4000
TTA-기타어259,[LANstar] 5V 2A 아답터. 외경 5.5mm 내경 2.5mm [30460] (100개),LS-FC5V2A,4000
TTA-멀티탭346,[현대] 블랙 하이탭 16A 2구 1.5M,HIPM16-215N,4500
TTA-멀티탭821,현대일렉트릭 서버탭 알루미늄 고용량 멀티탭 4000W 2구 1.5M 스페이스블루,HDSVAL-GN215B,28000
TTA-전기기001,"A-type, 220V 를 110V로 변환 젠더",LS-A110,550
TTA-전기기003,"A, SE, C, O, BF-type SET, 전세계 공용.",LS-PT-SET5,2500
TTA-전기기047,"[LANstar] 전원 멀티 변환기, 세계 공용 아답터 [60092]",LS-AC-MULTI,2000
USB-HB무002,[LANstar] USB2.0 HUB 4Port FE2.0 검정 [30035],LS-USB204P-BN,2900
USB-HB무003,[LANstar] USB2.0 HUB 4Port FE2.0 실버 [30036],LS-USB204P-SN,2900
USB-HB무114,"[LANstar] USB허브 , USB2.0 7Port. Silver, Power option LS-USB207PN [30104] ★★할인제외★★",LS-USB207PN,7500
USB-HB무122,"[LANstar] USB허브 , USB3.0 4Port. Silver,무전원/전원추가가능 LS-USB304S [30136]",LS-USB304S,11000
USB-HB무123,"[LANstar] USB허브 , USB3.0 4Port. Black,무전원/전원추가가능 LS-USB304B(150개) [30137]",LS-USB304B,11000
USB-HB유140,"[LANstar] USB3.0 7포트 유전원 허브, 어댑터 포함 [30857] (20개)",LS-UH307,29000
USB-HB유141,"[LANstar] USB3.0 16포트 유전원 허브, 어댑터 포함 [30858] (20개)",LS-UH316,60000
USB-HB유149,HM LAB ZNEO 게이밍 유전원 3포트 허브,LS-ZNEO,40000
USB-PCI001,[LANstar] PCI USB2.0 카드 4＋1PORT VT6212L[30048],LS-PCI-204U,5500
USB-PCI002,PCI페러럴카드 1284 1Port MCS9865 미니가이드 (LANstar),LS-PCI-1284,7500
USB-PCI003,[LANstar] PCI 1394카드 1394 3＋1Port VT6306 미니가이드[30049],LS-PCI-1394,6500
USB-PCI005,[LANstar] PCI SATA카드 SATA 2＋1Port VT6421 미니가이드[30051],LS-PCI-102SA,11000
USB-PCI006,[LANstar] PCI COMBO카드 USB2.0 2＋1P 1394 2＋1P [30050],LUS-PH-0163,12000
USB-PCI069,"[LANstar] PCI EXPRESS USB 3.0 카드 2＋1Port, NEC[30063]",LS-PCIE-EX302,11800
USB-PCI072,[LANstar] PCI EXPRESS 기가랜카드 Marvel[30061] (100개),LS-PCIE-EX1000,6000
USB-PCI076,[LANstar] PCI페러럴카드 1284 1Port 미니가이드[30053],LS-PCI-1284B,5600
USB-PCI077,[LANstar] PCI시리얼카드 2Port 미니가이드[30052](100개),LS-PCI-902SEB,6500
USB-PCI085,"[LANstar] PCI EXPRESS 기가랜카드 1Port, RTL8111C[30062] (100개)",LS-PCIE-EX1000T,6000
USB-PCI100,[LANstar] PCI EXPRESS Parallel카드 1Port MOS칩 [30064] (100개),LS-PCIE-EX1284B,14500
USB-PCI101,"[LANstar] PCI EXPRESS 시리얼카드 Serial 2Port, MOS칩[30065] (100개)",LS-PCIE-EX902B,15000
