"# O=완제품 단위 인증서 보유 / 자재=자재별 성적서 묶음 보유 / X=없음. 케이블은 자재별 성적서 묶음도 정상적인 근거이며, 아래 자재커버리지로 누락 자재를 확인"
"# * 표시(O*, 자재*) = 라인 단위 인증서를 제품군에 대응시킨 추론 매핑에만 근거함. 고객 제출 전 해당 모델이 인증서 적용범위에 포함되는지 확인 권장"
모델명,Data sheet,RoHS,CE,CoC,Fluke test,제품구분,RoHS 자재커버리지,RoHS 미확보 자재,기타 보유자료,4대자료 없음수
LS-C5U305Y,O,X,X,X,O,케이블,-,-,-,3
LS-C6OD300,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.5E-FTP-300M,X,O,X,X,O,케이블,-,-,-,3
LS-CAT.5E-FTP-54M,X,X,X,X,O,케이블,-,-,-,4
LS-CAT.5E-HFTP-300MSTG,X,X,X,X,O,케이블,-,-,-,4
LS-CAT.5E-HUTP-300M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.5E-HUTP-300MG,X,X,X,X,O,케이블,-,-,-,4
LS-CAT.5E-HUTP-65M,X,X,X,X,O,케이블,-,-,-,4
LS-CAT.5E-HUTP-80M,X,X,X,X,O,케이블,-,-,-,4
LS-CAT.5E-SFTP-300M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-SFTP-300M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPC-10M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPC-2M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPC-3M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPC-5M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-0.5M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-10M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-15M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-1M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-20M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-2M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-30M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-3M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-50M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-5M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT.6-UTPD-7M,O,X,X,X,X,케이블,-,-,-,4
LS-CAT5E-STP,X,자재,X,X,X,케이블,도금·커넥터,도체·절연·자켓·차폐,-,4
LS-CAT5E-UTP,X,자재,X,X,X,커넥터/액세서리,도금·차폐·커넥터,없음(완비),-,4
LS-CAT6-STP,O,자재,X,O,X,커넥터/액세서리,차폐·커넥터,없음(완비),MSDS/SDS,2
LS-CAT6-UTP,X,자재,X,X,X,커넥터/액세서리,차폐·커넥터,없음(완비),-,4
LS-CAT7-750,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-CAT7-750G,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-CCTP-XM,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-CON-S15F,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-CON-S15M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-COPY10,X,X,X,X,X,케이블,-,-,"Drawing, Manual",5
LS-COPY30,X,X,X,X,X,케이블,-,-,"Drawing, Manual",5
LS-CUP-ID8C,O,자재,X,X,X,커넥터/액세서리,도금·절연·커넥터,없음(완비),-,3
LS-CUP-YD8C,X,자재,X,X,X,커넥터/액세서리,도금·절연·커넥터,없음(완비),-,4
LS-DC-RJ45-BKC,X,자재,X,X,X,커넥터/액세서리,자켓,커넥터,MSDS/SDS,4
LS-DC-RJ45BK,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-DC-RJ45PP-WHC,X,자재,X,X,X,커넥터/액세서리,커넥터,없음(완비),-,4
LS-DC-USBPE-WHC,X,자재*,X,X,X,커넥터/액세서리,절연,커넥터,-,4
LS-DP12HD,O,O,X,X,X,케이블,-,-,-,3
LS-DP14MM-XM,O,X,X,X,X,케이블,-,-,-,4
LS-DP14N,X,O,O,X,X,케이블,-,-,-,3
"LS-DP14N-1M,1.5M,2M,3M",O,X,X,X,X,케이블,-,-,-,4
LS-DP14N-5M,O,X,X,X,X,케이블,-,-,-,4
LS-DP14N-XM,O,X,X,X,X,케이블,-,-,-,4
LS-DP192,O,X,X,X,X,케이블,-,-,-,4
LS-DP192-1.5M,X,O,X,X,X,케이블,-,-,-,4
LS-DP192-1M,X,O,X,X,X,케이블,-,-,-,4
LS-DP192-2M,X,O,X,X,X,케이블,-,-,-,4
LS-DP192-3M,X,O,X,X,X,케이블,-,-,-,4
LS-DP192-5M,X,O,X,X,X,케이블,-,-,-,4
LS-DP192-60H-XM,O,X,O,X,X,케이블,-,-,Test report,3
LS-DP192-XM,O,O,O,X,X,케이블,-,-,-,2
LS-DPAOC-XM,X,X,O,X,X,케이블,-,-,-,4
LS-DPAOC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-DPFF-S0.2M,O,X,X,X,X,케이블,-,-,-,4
LS-DPMF-SXM,O,O,X,X,X,케이블,-,-,-,3
LS-DVI19M-1.8M,X,X,O,X,X,케이블,-,-,-,4
"LS-DVI19M-1.8M,3M,5M",O,X,X,X,X,케이블,-,-,-,4
LS-DVI19M-10M,O,X,O,X,X,케이블,-,-,-,3
LS-DVI19M-3M,X,X,O,X,X,케이블,-,-,-,4
LS-DVI19M-5M,X,X,O,X,X,케이블,-,-,-,4
LS-DVI19M-HDMI-1-5M,O,X,X,X,X,케이블,-,-,-,4
LS-DVI19M-HDMI-10M,O,X,O,X,X,케이블,-,-,-,3
LS-DVI19M-HDMI-15M,O,X,O,X,X,케이블,-,-,-,3
LS-DVI19M-HDMI-1M~5M,X,X,O,X,X,케이블,-,-,-,4
LS-DVI19M-HDMI-20M,O,X,O,X,X,케이블,-,-,-,3
LS-DVI19M-XM,X,X,X,X,X,케이블,-,-,Drawing,5
LS-DVI25M,X,X,O,X,X,케이블,-,-,-,4
LS-DVI25M-1.8M,X,X,O,X,X,케이블,-,-,-,4
"LS-DVI25M-1.8M,3M,5M",O,X,X,X,X,케이블,-,-,-,4
LS-DVI25M-10M,O,X,O,X,X,케이블,-,-,-,3
LS-DVI25M-3M,X,X,O,X,X,케이블,-,-,-,4
LS-DVI25M-5M,X,X,O,X,X,케이블,-,-,-,4
LS-DVI25M-XM,X,O,O,X,X,케이블,-,-,Drawing,3
LS-EIC-FJM,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-EIC-UED4,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-EIC-UJ,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-EIC-UJW,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-EIC-UK,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-EPLB-24P19N,O,X,O,X,O,커넥터/액세서리,-,-,UL,2
LS-EPLB-48P19,O,X,X,X,O,커넥터/액세서리,-,-,-,3
LS-ETMD-UJWT,O,X,X,X,X,케이블,-,-,UL,4
LS-EXT300,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-EXT305,O,X,X,X,X,케이블,-,-,Other-cert,4
LS-EXT310,O,X,O,X,X,케이블,-,-,-,3
LS-EXT315,O,X,X,X,X,케이블,-,-,Other-cert,4
LS-EXT320,O,X,X,X,X,케이블,-,-,Other-cert,4
LS-EXT3XX,X,X,O,X,X,케이블,-,-,-,4
LS-EZ-750,O,O,X,X,X,커넥터/액세서리,-,-,-,3
LS-F6-UTPD,X,X,O*,X,X,케이블,-,-,-,4
LS-F6-UTPD-0.5M,O,X,X,X,X,케이블,-,-,-,4
LS-F6-UTPD-10M,O,X,X,X,X,케이블,-,-,-,4
LS-F6-UTPD-15M,O,X,X,X,X,케이블,-,-,-,4
LS-F6-UTPD-1M,O,X,X,X,X,케이블,-,-,-,4
LS-F6-UTPD-20M,O,X,X,X,X,케이블,-,-,-,4
LS-F6-UTPD-2M,O,X,X,X,X,케이블,-,-,-,4
LS-F6-UTPD-3M,O,X,X,X,X,케이블,-,-,-,4
LS-F6-UTPD-5M,O,X,X,X,X,케이블,-,-,-,4
LS-F6-UTPD-XM,O,X,X,X,X,케이블,-,-,MSDS/SDS,4
LS-F6-UTPD-XXM,X,O,X,X,X,케이블,-,-,-,4
LS-F6UTPD,X,X,O*,X,X,케이블,-,-,-,4
LS-F6UTPD-0.5MW,O,X,X,X,X,케이블,-,-,-,4
